,西瓜胡萝卜沙拉,麻辣小龙虾,农夫山泉NFC果汁100%橙汁,番茄炖牛腩,凉拌菠菜,芝士烩波士顿龙虾,姜葱炒花蟹,水煮鱼,百里香奶油烤紅酒牛肉,香菇鹌鹑蛋,拌土豆丝,焖猪手,53度茅台,路易拉菲红酒干红,意文柠檬汁 ,蛋挞,黄油曲奇饼干,香菇鸡肉粥,哈尔滨啤酒罐装,清蒸海鱼,辣炒鱿鱼,爆炒猪肝,啤酒鸭,干锅田鸡,番茄蛋汤,黄花菜炒木耳,凉拌萝卜丝,38度剑南春 ,蓝带啤酒罐装,老式面包,一品香酥藕,牛奶卷,葡萄奶酥(超酥香的饼干),葱姜炒蟹,百威啤酒罐装,大理石奶油蛋糕,党参黄芪炖牛尾,三色凉拌手撕兔,白斩鸡,爆炒鸡翅,清炒菊花菜,培根花菜, 北冰洋汽水 ,核桃葡萄干土司,倒立蒸梭子蟹,番茄甘蓝,红酒炖羊肉,桂圆枸杞鸽子汤,黄尾袋鼠西拉子红葡萄酒,黑米恋上葡萄,皮蛋瘦肉粥,油焖麻辣虾,蒜香辣花甲,蒜蓉生蚝,番茄有机花菜,谷稻小庄 ,冰糖红豆薏米粥,海带结豆腐汤,爆炒双丝,香烤牛排,小米南瓜粥,咖啡奶香面包,葱油凉拌藕片,桂圆肉红豆八宝饭,五色糯米饭(七色),剁椒鱼头,辣炒田螺,不加一滴油的酸奶蛋糕,木须豌豆,酸辣汤面,照烧鸡腿,青炒扁豆,重庆特色油烧兔,培根紫菜卷,红酒土豆烧鸭腿,三丝鳝鱼,白胡椒胡萝卜羊肉汤,孜然羊排,青岛啤酒罐装,辣炒海带丝,爆炒鳝碌,金玉良缘,酸辣藕丁,香酥两吃大虾,避风塘炒蟹,凉拌蒜蓉西兰花,南瓜枸杞小饼干, 42度海之蓝,清爽拌凉面,超人气广式肠粉,蒙古烤羊腿,肉丁茄子,山药养生粥,广式虾仁肠粉,杭椒鸡珍,凉拌海带豆芽紫菜,泡椒凤爪,张裕葡萄酒张裕赤霞珠干红,玉竹南北杏鸭腿汤,糖醋蕃茄溜青花,芹菜炒腰花,花蛤蒸蛋,鲜美鳝鱼,芝麻烤紫菜,辣炒花蛤,豌豆薯仔猪骨汤,清蒸蝶鱼,小炒羊腰,鸡蛋、肉末肠粉,打卤面,番茄炖秋葵,大蒜苋菜,紫薯面包卷,纸杯蛋糕,香辣腐乳炒虾,露露无糖杏仁露,独家薄荷鲜虾牛肉卷,美妙绝伦之白莲花,52度泸州老窖 ,50度古井贡酒,五香酱驴肉,蒜香包,炝炒大白菜,盘蟹蒸蛋,五彩藕苗,芹黄鳝丝,宝宝版牛肉肠粉,牛尾汤,冰镇花螺,冬瓜炒苦瓜,特醇嘉士伯啤酒罐装,香辣爆羊肝,自制猪肉脯,土豆西红柿汤面,牛肉鸡蛋肠粉,铁板牛肉,百里香奶油烤红酒牛肉,鱼香肉丝拌面,南瓜芝士包,法国波尔多AOC干红葡萄酒原,五彩豆,长城窖酿解百纳红酒干红葡萄酒,快炒黄鳝
拌土豆丝,0.1875,0.1932,0.0952,0.2414,0.1961,0.1976,0.1639,0.1847,0.0143,0.1795,0.0,0.1628,0.1325,0.0851,0.1905,0.1901,0.0875,0.1685,0.1125,0.1489,0.152,0.1923,0.1296,0.1262,0.1087,0.1287,0.1313,0.1013,0.1139,0.1176,0.0842,0.0946,0.1477,0.1237,0.0779,0.0638,0.1512,0.0494,0.0857,0.1333,0.1275,0.1633,0.0982,0.15,0.1619,0.1524,0.1296,0.11,0.0762,0.099,0.115,0.16,0.1406,0.1158,0.1579,0.171,0.1393,0.0732,0.1593,0.2314,0.1852,0.08,0.1028,0.2222,0.2147,0.1528,0.1505,0.1047,0.1649,0.0595,0.2,0.1279,0.0602,0.1009,0.1461,0.0563,0.1538,0.2093,0.0843,0.1011,0.0625,0.1818,0.1161,0.1657,0.1224,0.1667,0.1386,0.0385,0.1682,0.0976,0.1457,0.1122,0.0909,0.038,0.0778,0.0641,0.092,0.0968,0.0759,0.1356,0.1197,0.0659,0.1169,0.1134,0.0805,0.1333,0.1504,0.0581,0.0714,0.1522,0.1146,0.0909,0.1111,0.0549,0.1681,0.0938,0.1379,0.1053,0.0488,0.037,0.101,0.1064,0.1462,0.172,0.125,0.0519,0.0526,0.1413,0.0247,0.05,0.0676,0.1284,0.1474,0.0946,0.0741,0.0455,0.1132,0.1333,0.1412,0.1034,0.0833,0.0526,0.0506
焖猪手,0.1892,0.2694,0.1438,0.2114,0.3867,0.3814,0.2,0.2764,0.0146,0.1839,0.1628,0.0,0.0588,0.1258,0.1474,0.191,0.0839,0.0886,0.068,0.2105,0.3184,0.289,0.1176,0.1152,0.0897,0.1592,0.0976,0.0839,0.0833,0.0654,0.0755,0.0493,0.1192,0.1419,0.0414,0.1275,0.0705,0.0552,0.1235,0.1835,0.1296,0.1304,0.1302,0.0884,0.0857,0.1455,0.1656,0.0783,0.1312,0.0719,0.1279,0.2102,0.1955,0.0741,0.1834,0.3243,0.1761,0.04,0.1437,0.1989,0.1667,0.0276,0.1553,0.2121,0.2913,0.2857,0.1218,0.1088,0.1242,0.068,0.1605,0.0927,0.0612,0.119,0.1039,0.0438,0.2316,0.1915,0.0533,0.1067,0.0699,0.1716,0.1488,0.3184,0.092,0.2131,0.1509,0.0643,0.1353,0.0604,0.2751,0.0727,0.1534,0.0345,0.0784,0.0559,0.1014,0.1333,0.0338,0.1477,0.3593,0.0784,0.0199,0.1069,0.0872,0.3313,0.1716,0.06,0.0214,0.1013,0.1006,0.2121,0.1125,0.1007,0.2395,0.1019,0.1364,0.2228,0.1079,0.0411,0.1346,0.0955,0.2191,0.1203,0.1284,0.0347,0.035,0.1689,0.0709,0.0411,0.0352,0.1369,0.3722,0.0493,0.0839,0.0148,0.1625,0.0828,0.0927,0.0861,0.0671,0.0571,0.0272
53度茅台,0.1287,0.1026,0.1493,0.1398,0.1075,0.1329,0.1183,0.1385,0.0312,0.1494,0.1325,0.0588,0.0,0.0667,0.098,0.1277,0.0426,0.082,0.0625,0.1481,0.1119,0.125,0.0909,0.1304,0.0667,0.1014,0.0882,0.0208,0.0638,0.1176,0.0484,0.1026,0.0862,0.2034,0.0714,0.0877,0.0893,0.0217,0.0704,0.125,0.1324,0.1014,0.0625,0.102,0.0909,0.0921,0.0909,0.0429,0.0714,0.1406,0.1282,0.1263,0.08,0.0794,0.093,0.0805,0.1099,0.0,0.1071,0.11,0.125,0.0238,0.1594,0.1325,0.1348,0.094,0.0455,0.0755,0.087,0.0625,0.1233,0.1132,0.0204,0.0649,0.1034,0.0,0.0667,0.1238,0.0612,0.0345,0.0444,0.0952,0.1299,0.0966,0.0746,0.1154,0.1159,0.0238,0.1013,0.1064,0.0887,0.1639,0.0933,0.0732,0.0727,0.0465,0.0364,0.0323,0.0444,0.1163,0.0804,0.1132,0.1163,0.0294,0.0769,0.0748,0.0337,0.0192,0.0882,0.1525,0.15,0.1059,0.1077,0.0741,0.0978,0.0806,0.1325,0.1304,0.0,0.0,0.0441,0.082,0.099,0.1639,0.0893,0.0238,0.1351,0.0806,0.0227,0.0952,0.0513,0.1039,0.1371,0.1026,0.1136,0.0,0.1429,0.0492,0.0727,0.0357,0.0392,0.1053,0.0465
路易拉菲红酒干红,0.1619,0.125,0.0897,0.1176,0.1323,0.1565,0.12,0.1387,0.0789,0.1134,0.0851,0.1258,0.0667,0.0,0.0811,0.1633,0.14,0.0882,0.0351,0.1186,0.1438,0.1062,0.0952,0.1026,0.125,0.1351,0.1081,0.0179,0.0943,0.0484,0.0896,0.02,0.127,0.1618,0.0392,0.1111,0.0455,0.0577,0.1053,0.1558,0.0897,0.12,0.069,0.1071,0.1358,0.0964,0.1358,0.1571,0.0921,0.0658,0.0909,0.1058,0.1154,0.1014,0.1087,0.1264,0.0686,0.1373,0.0632,0.1121,0.0889,0.0625,0.0476,0.1461,0.12,0.1148,0.1324,0.0833,0.1067,0.0351,0.1111,0.1356,0.1154,0.0714,0.0909,0.0,0.1215,0.1455,0.0345,0.1333,0.1,0.1628,0.0795,0.1761,0.0959,0.1171,0.0625,0.0851,0.1176,0.0526,0.1349,0.0822,0.1111,0.0196,0.1356,0.0816,0.1207,0.125,0.0784,0.1818,0.1316,0.0469,0.0769,0.1642,0.1228,0.1495,0.1111,0.0339,0.0227,0.1343,0.0845,0.0851,0.1429,0.1186,0.0792,0.1364,0.1209,0.0866,0.0182,0.0588,0.1127,0.0725,0.1226,0.1286,0.0781,0.0851,0.0204,0.0714,0.0192,0.125,0.0208,0.0941,0.1288,0.1333,0.1633,0.0541,0.1,0.1613,0.0984,0.0645,0.1296,0.0638,0.0392
意文柠檬汁 ,0.1972,0.2063,0.177,0.2273,0.2018,0.2111,0.194,0.2671,0.0114,0.248,0.1905,0.1474,0.098,0.0811,0.0,0.218,0.0938,0.1193,0.07,0.2081,0.2428,0.0949,0.1765,0.1074,0.0714,0.1186,0.1404,0.0825,0.0928,0.0762,0.1415,0.0421,0.1226,0.114,0.0412,0.1132,0.125,0.0404,0.1786,0.1913,0.1667,0.1478,0.1016,0.0891,0.1024,0.1681,0.12,0.1416,0.1293,0.1518,0.2522,0.156,0.1884,0.181,0.2397,0.202,0.1716,0.1398,0.1732,0.219,0.1774,0.0645,0.1826,0.145,0.2203,0.1871,0.0965,0.1649,0.1293,0.0808,0.2212,0.0748,0.1042,0.2212,0.1215,0.0449,0.1748,0.16,0.0909,0.0841,0.1319,0.1746,0.1349,0.2079,0.1532,0.2113,0.177,0.0645,0.2655,0.102,0.2323,0.1339,0.1405,0.0989,0.1165,0.0745,0.0865,0.0909,0.0842,0.1783,0.1346,0.1058,0.0505,0.156,0.0769,0.1875,0.184,0.0481,0.0568,0.181,0.0965,0.145,0.1532,0.0857,0.163,0.1182,0.2,0.1772,0.0196,0.0737,0.1441,0.1619,0.1678,0.1869,0.1359,0.0206,0.0652,0.1081,0.0521,0.0737,0.0211,0.1371,0.2012,0.0879,0.0825,0.0116,0.1525,0.2,0.15,0.0962,0.0583,0.0316,0.01
蛋挞,0.3016,0.2402,0.1759,0.2,0.2673,0.2184,0.2623,0.1928,0.0506,0.1811,0.1901,0.191,0.1277,0.1633,0.218,0.0,0.1,0.1048,0.0632,0.2,0.259,0.1929,0.1261,0.1636,0.1176,0.1667,0.2157,0.1,0.0989,0.1031,0.1275,0.0814,0.1649,0.1204,0.0674,0.0874,0.1443,0.0778,0.0957,0.2018,0.1441,0.26,0.125,0.1064,0.1552,0.1982,0.1652,0.1714,0.1364,0.1389,0.1405,0.1716,0.188,0.1346,0.1901,0.2526,0.1615,0.0753,0.1532,0.2677,0.1966,0.0449,0.1304,0.1901,0.25,0.2027,0.1782,0.1383,0.1574,0.086,0.2222,0.09,0.087,0.1579,0.1633,0.0357,0.2366,0.2444,0.1333,0.1224,0.0778,0.2137,0.1417,0.1808,0.1731,0.2296,0.1545,0.0449,0.181,0.1087,0.2847,0.1635,0.1,0.0562,0.1237,0.044,0.07,0.2128,0.043,0.2479,0.1793,0.09,0.0316,0.2371,0.1277,0.2222,0.127,0.0729,0.0482,0.1132,0.1121,0.152,0.0991,0.1134,0.1269,0.125,0.1803,0.1688,0.0538,0.0667,0.1204,0.16,0.2015,0.1635,0.1327,0.0568,0.0455,0.0935,0.044,0.1034,0.0581,0.1638,0.2323,0.0941,0.1124,0.0253,0.1207,0.0962,0.101,0.1134,0.0729,0.0455,0.092
黄油曲奇饼干,0.1263,0.0714,0.0448,0.1,0.0699,0.0616,0.0778,0.093,0.04,0.1071,0.0875,0.0839,0.0426,0.14,0.0938,0.1,0.0,0.0727,0.0233,0.0541,0.0935,0.0377,0.0548,0.0597,0.0364,0.0455,0.1167,0.05,0.1026,0.0204,0.0357,0.0588,0.0769,0.0492,0.0556,0.0377,0.0588,0.0,0.0299,0.0571,0.0294,0.0615,0.013,0.0444,0.0694,0.0411,0.0548,0.0645,0.0625,0.0645,0.0658,0.0204,0.0412,0.0,0.0357,0.0647,0.0562,0.1026,0.0238,0.0947,0.0779,0.0,0.0735,0.0482,0.0775,0.0522,0.0333,0.0638,0.0462,0.0476,0.0714,0.04,0.0488,0.0563,0.0962,0.0345,0.0294,0.0777,0.0227,0.1277,0.0811,0.1039,0.039,0.0629,0.0484,0.0481,0.0606,0.0588,0.0811,0.0227,0.0579,0.0847,0.0563,0.0278,0.1304,0.027,0.0417,0.0556,0.0526,0.0988,0.027,0.04,0.025,0.05,0.0426,0.102,0.0366,0.0,0.0,0.0702,0.0508,0.0357,0.0484,0.0625,0.033,0.0345,0.0482,0.0424,0.0789,0.0263,0.0492,0.0727,0.04,0.0492,0.08,0.0588,0.0,0.1321,0.0,0.0263,0.0,0.0685,0.0551,0.0909,0.1053,0.0,0.0282,0.0556,0.0612,0.02,0.0698,0.0606,0.0857
香菇鸡肉粥,0.1273,0.103,0.0741,0.1154,0.1192,0.1316,0.1068,0.1449,0.0238,0.1,0.1685,0.0886,0.082,0.0882,0.1193,0.1048,0.0727,0.0,0.1091,0.1167,0.1267,0.1339,0.093,0.0602,0.1045,0.0617,0.0909,0.0536,0.0909,0.0984,0.0563,0.0816,0.1587,0.0658,0.0577,0.0909,0.127,0.0364,0.1026,0.1098,0.061,0.1026,0.1176,0.1429,0.1059,0.1205,0.0444,0.1216,0.1486,0.137,0.1264,0.0935,0.1132,0.0833,0.0505,0.1186,0.1212,0.1111,0.1075,0.1308,0.1494,0.1042,0.0588,0.1818,0.1258,0.122,0.1286,0.0308,0.1184,0.1509,0.0698,0.0615,0.0909,0.0952,0.0571,0.0217,0.0893,0.1228,0.0877,0.0938,0.0364,0.0851,0.1412,0.1118,0.1389,0.1351,0.1013,0.0392,0.1279,0.1273,0.0985,0.0658,0.1084,0.0588,0.0781,0.0577,0.1167,0.0882,0.0962,0.1042,0.1008,0.0299,0.0741,0.039,0.1,0.0776,0.0968,0.0161,0.0217,0.1304,0.0972,0.0833,0.1233,0.0968,0.0777,0.1159,0.0947,0.0938,0.0357,0.037,0.0946,0.0857,0.0901,0.125,0.0923,0.0392,0.1064,0.1324,0.1458,0.037,0.02,0.1446,0.1269,0.0816,0.0536,0.025,0.0345,0.0725,0.1129,0.0968,0.05,0.1304,0.0377
哈尔滨啤酒罐装,0.09,0.1438,0.0746,0.086,0.1105,0.0753,0.1,0.0833,0.037,0.0674,0.1125,0.068,0.0625,0.0351,0.07,0.0632,0.0233,0.1091,0.0,0.0625,0.0922,0.0667,0.0676,0.1061,0.1346,0.0597,0.0952,0.0476,0.25,0.1818,0.1111,0.1515,0.16,0.0312,0.1429,0.0556,0.1429,0.0244,0.0143,0.1343,0.0909,0.1094,0.1111,0.0652,0.0395,0.0541,0.0822,0.0794,0.0606,0.1333,0.0506,0.0851,0.1075,0.05,0.0349,0.0702,0.0787,0.0465,0.1,0.1042,0.0897,0.0556,0.1194,0.1125,0.0764,0.0982,0.0323,0.04,0.0448,0.0952,0.0548,0.102,0.0465,0.1324,0.0727,0.0323,0.0808,0.0971,0.119,0.0577,0.0769,0.061,0.1081,0.0922,0.0806,0.0777,0.1077,0.0556,0.0933,0.0444,0.1017,0.1,0.0694,0.0263,0.0385,0.0,0.0833,0.0536,0.0244,0.0581,0.0943,0.0189,0.0488,0.0833,0.1087,0.0784,0.0482,0.0435,0.0323,0.125,0.0847,0.0723,0.0984,0.0816,0.0549,0.0333,0.0471,0.0504,0.0238,0.0513,0.0476,0.1296,0.0707,0.0476,0.0566,0.027,0.0571,0.069,0.0526,0.0789,0.0588,0.0959,0.0968,0.1176,0.1,0.0,0.0417,0.0727,0.0588,0.06,0.0667,0.0278,0.0526
清蒸海鱼,0.2466,0.2245,0.1694,0.2168,0.2685,0.3068,0.1944,0.2135,0.01,0.1831,0.1489,0.2105,0.1481,0.1186,0.2081,0.2,0.0541,0.1167,0.0625,0.0,0.2337,0.2759,0.1259,0.1231,0.1186,0.1803,0.127,0.1038,0.1028,0.1161,0.1368,0.11,0.1008,0.178,0.0561,0.0833,0.1217,0.0455,0.1707,0.1825,0.1417,0.1339,0.1087,0.1402,0.1875,0.1705,0.1343,0.1016,0.1085,0.1016,0.1223,0.1824,0.1503,0.124,0.1739,0.2864,0.1901,0.0536,0.2481,0.1776,0.188,0.099,0.2333,0.2,0.2809,0.2099,0.1417,0.1161,0.1626,0.1019,0.1628,0.0855,0.0727,0.1364,0.1478,0.0194,0.1688,0.2078,0.0811,0.113,0.0748,0.1852,0.1397,0.227,0.1024,0.2603,0.1789,0.0374,0.1742,0.0811,0.2083,0.1393,0.1628,0.0667,0.1239,0.0273,0.0504,0.1282,0.036,0.2148,0.2434,0.0763,0.0741,0.122,0.1273,0.1806,0.1852,0.0614,0.05,0.1826,0.1513,0.1655,0.129,0.115,0.1901,0.1345,0.209,0.2222,0.0841,0.1068,0.112,0.1167,0.2695,0.1301,0.1026,0.0374,0.068,0.1345,0.0367,0.0962,0.0686,0.1504,0.2294,0.0777,0.1143,0.0206,0.184,0.1579,0.1339,0.0862,0.0804,0.0784,0.0762
辣炒鱿鱼,0.2123,0.3547,0.1765,0.2667,0.4174,0.2864,0.2105,0.3641,0.0074,0.2156,0.152,0.3184,0.1119,0.1438,0.2428,0.259,0.0935,0.1267,0.0922,0.2337,0.0,0.2571,0.1402,0.1384,0.1208,0.1776,0.1274,0.0704,0.0851,0.1034,0.1275,0.0896,0.137,0.16,0.0571,0.1379,0.1081,0.049,0.1474,0.1948,0.1465,0.1258,0.1257,0.1056,0.1615,0.1772,0.2143,0.1069,0.1338,0.1355,0.179,0.1864,0.2267,0.1176,0.1726,0.3535,0.2439,0.1087,0.1529,0.2738,0.1768,0.0504,0.1731,0.1726,0.2767,0.343,0.1026,0.0959,0.1634,0.0845,0.1935,0.1172,0.0775,0.1562,0.1438,0.0294,0.2286,0.3,0.1151,0.1164,0.1111,0.2037,0.2025,0.3166,0.1006,0.2807,0.1842,0.058,0.2338,0.0616,0.3678,0.1226,0.1145,0.0576,0.1329,0.0647,0.0811,0.1438,0.049,0.2061,0.3023,0.0946,0.0486,0.1533,0.1277,0.2899,0.1607,0.0612,0.0526,0.1875,0.1169,0.1657,0.1218,0.0878,0.193,0.1258,0.2012,0.2595,0.0634,0.0347,0.1299,0.1655,0.2229,0.1523,0.1081,0.0282,0.0584,0.1333,0.035,0.0643,0.036,0.1534,0.3407,0.0735,0.0857,0.0075,0.1296,0.1517,0.1172,0.0805,0.0986,0.0584,0.035
爆炒猪肝,0.1589,0.2073,0.104,0.2014,0.335,0.3195,0.2222,0.1943,0.0108,0.1838,0.1923,0.289,0.125,0.1062,0.0949,0.1929,0.0377,0.1339,0.0667,0.2759,0.2571,0.0,0.1328,0.2301,0.0965,0.1709,0.1345,0.0784,0.1212,0.1238,0.1053,0.0722,0.1273,0.1681,0.0291,0.0513,0.0893,0.0909,0.181,0.1639,0.122,0.1322,0.1145,0.1616,0.1885,0.1707,0.1789,0.1074,0.1333,0.1167,0.155,0.2444,0.1901,0.084,0.1314,0.2969,0.1571,0.0472,0.1756,0.2113,0.1527,0.0505,0.128,0.2109,0.2557,0.2517,0.1404,0.1132,0.1429,0.0874,0.126,0.1429,0.0673,0.1085,0.1062,0.0208,0.1931,0.2431,0.0971,0.0431,0.0385,0.1168,0.1654,0.2571,0.1176,0.2643,0.1597,0.0505,0.1654,0.0865,0.2327,0.1186,0.1721,0.05,0.1009,0.06,0.0826,0.1468,0.0485,0.1894,0.3684,0.1321,0.0381,0.0738,0.1038,0.2571,0.1333,0.0755,0.0316,0.1622,0.1111,0.24,0.0902,0.1019,0.1825,0.1228,0.1314,0.2013,0.0792,0.0918,0.1478,0.1239,0.2647,0.1478,0.0991,0.04,0.0619,0.1532,0.0392,0.07,0.0625,0.1318,0.3203,0.0612,0.1111,0.011,0.2155,0.0593,0.1111,0.0917,0.1068,0.0957,0.0392
啤酒鸭,0.1452,0.1696,0.1053,0.1261,0.1471,0.1515,0.1379,0.1656,0.0167,0.1743,0.1296,0.1176,0.0909,0.0952,0.1765,0.1261,0.0548,0.093,0.0676,0.1259,0.1402,0.1328,0.0,0.1648,0.1795,0.1304,0.1209,0.1493,0.0685,0.0625,0.1481,0.0597,0.0964,0.1647,0.0896,0.0976,0.0988,0.0714,0.1556,0.1474,0.1538,0.0833,0.1078,0.1549,0.12,0.1562,0.12,0.0978,0.1075,0.1477,0.0943,0.1441,0.124,0.1429,0.1845,0.1489,0.1316,0.0833,0.1524,0.1488,0.1132,0.029,0.1739,0.1961,0.1899,0.1556,0.1279,0.0759,0.2118,0.0395,0.1224,0.1013,0.04,0.1579,0.0575,0.0484,0.157,0.1231,0.0811,0.0864,0.0714,0.1215,0.1386,0.1911,0.0753,0.1077,0.1413,0.029,0.15,0.0667,0.1727,0.1379,0.1224,0.0746,0.0875,0.1061,0.1184,0.1084,0.0563,0.1481,0.155,0.0482,0.0556,0.1011,0.0909,0.1349,0.1429,0.0658,0.0156,0.1707,0.1548,0.1193,0.1905,0.1467,0.1316,0.1446,0.1619,0.1791,0.0411,0.0571,0.1786,0.1059,0.188,0.125,0.1711,0.0143,0.0448,0.131,0.058,0.0725,0.0615,0.1078,0.1497,0.0923,0.1,0.0351,0.1134,0.1084,0.1013,0.1169,0.0519,0.0606,0.0429
干锅田鸡,0.124,0.1412,0.0879,0.1743,0.1574,0.1646,0.1351,0.1184,0.0185,0.1091,0.1262,0.1152,0.1304,0.1026,0.1074,0.1636,0.0597,0.0602,0.1061,0.1231,0.1384,0.2301,0.1648,0.0,0.0886,0.1395,0.0667,0.0597,0.125,0.1791,0.0875,0.1017,0.1333,0.1481,0.0984,0.037,0.0779,0.0455,0.1011,0.1196,0.1,0.1807,0.1263,0.1014,0.1398,0.1667,0.191,0.1875,0.0899,0.092,0.134,0.1835,0.1607,0.1111,0.1262,0.1413,0.1081,0.0435,0.1386,0.1466,0.1313,0.0156,0.1333,0.1373,0.1742,0.1364,0.0833,0.026,0.1829,0.058,0.1183,0.0946,0.0909,0.0833,0.075,0.0172,0.1652,0.129,0.0725,0.0649,0.0952,0.14,0.1474,0.1456,0.1059,0.1695,0.1124,0.0656,0.1354,0.0571,0.146,0.1625,0.1183,0.0645,0.125,0.0308,0.0972,0.1169,0.0615,0.2041,0.1532,0.08,0.0769,0.122,0.0541,0.123,0.0962,0.087,0.0351,0.0976,0.1098,0.16,0.119,0.0959,0.0885,0.0595,0.0841,0.1343,0.0448,0.1333,0.1205,0.1,0.1667,0.1205,0.1216,0.0317,0.0159,0.141,0.0308,0.1333,0.0862,0.163,0.1727,0.0656,0.1094,0.0,0.1724,0.0617,0.0658,0.0526,0.1029,0.0323,0.0308
番茄蛋汤,0.1193,0.1321,0.0759,0.1176,0.1031,0.1184,0.098,0.1064,0.025,0.102,0.1087,0.0897,0.0667,0.125,0.0714,0.1176,0.0364,0.1045,0.1346,0.1186,0.1208,0.0965,0.1795,0.0886,0.0,0.05,0.1233,0.0962,0.0943,0.0656,0.1587,0.0851,0.1639,0.0395,0.1042,0.0769,0.1129,0.0784,0.1053,0.1711,0.0625,0.0769,0.0814,0.1071,0.0824,0.1098,0.0824,0.0385,0.0641,0.08,0.0549,0.1275,0.1048,0.1014,0.0737,0.1073,0.09,0.1154,0.1099,0.0917,0.1136,0.0851,0.1139,0.1724,0.1429,0.1148,0.1159,0.0833,0.1216,0.0351,0.0976,0.1754,0.0943,0.1842,0.0435,0.0,0.0714,0.1053,0.1111,0.0968,0.0377,0.1236,0.1585,0.1284,0.0526,0.1071,0.1972,0.0408,0.131,0.0345,0.0916,0.1127,0.0843,0.0196,0.0984,0.1042,0.1404,0.0435,0.0577,0.1064,0.1217,0.0152,0.037,0.0685,0.1034,0.0885,0.087,0.0702,0.0,0.1014,0.1,0.1209,0.1268,0.082,0.1122,0.0714,0.0968,0.0866,0.037,0.0385,0.0972,0.0725,0.1019,0.0972,0.1129,0.0408,0.0204,0.087,0.1042,0.08,0.0652,0.0814,0.1203,0.0851,0.0962,0.0,0.0864,0.125,0.0308,0.0476,0.0702,0.087,0.0816
黄花菜炒木耳,0.1261,0.1429,0.1149,0.1455,0.13,0.1742,0.1589,0.1667,0.0192,0.1215,0.1287,0.1592,0.1014,0.1351,0.1186,0.1667,0.0455,0.0617,0.0597,0.1803,0.1776,0.1709,0.1304,0.1395,0.05,0.0,0.0562,0.0455,0.0769,0.0694,0.0759,0.05,0.0779,0.1519,0.0156,0.0513,0.0946,0.0469,0.1294,0.2024,0.1412,0.1852,0.0714,0.0882,0.1685,0.0957,0.1429,0.1341,0.1446,0.1071,0.1739,0.1339,0.094,0.1139,0.1753,0.1556,0.1204,0.0606,0.0971,0.1293,0.068,0.0328,0.1628,0.14,0.1688,0.1473,0.1558,0.1159,0.1875,0.0758,0.1209,0.1286,0.0938,0.1209,0.2,0.0364,0.1186,0.1405,0.0909,0.1594,0.0984,0.0667,0.1146,0.1401,0.0824,0.1525,0.1279,0.0328,0.1031,0.0588,0.1654,0.0833,0.0625,0.0323,0.1127,0.0156,0.1,0.1053,0.0806,0.1717,0.128,0.1127,0.0794,0.0714,0.0704,0.1157,0.098,0.0282,0.0962,0.1733,0.0854,0.14,0.1358,0.0263,0.1,0.1299,0.0962,0.1029,0.1148,0.082,0.1519,0.1026,0.1593,0.0964,0.0658,0.05,0.1071,0.1299,0.0484,0.1379,0.0702,0.0938,0.15,0.0328,0.0781,0.0408,0.1628,0.1351,0.1286,0.0541,0.1231,0.0508,0.0484
凉拌萝卜丝,0.2222,0.1446,0.1047,0.1273,0.1429,0.1321,0.1296,0.1857,0.0408,0.1569,0.1313,0.0976,0.0882,0.1081,0.1404,0.2157,0.1167,0.0909,0.0952,0.127,0.1274,0.1345,0.1209,0.0667,0.1233,0.0562,0.0,0.1356,0.1148,0.087,0.0921,0.1091,0.0946,0.0723,0.0678,0.0526,0.0972,0.0484,0.0444,0.125,0.1047,0.1059,0.051,0.0909,0.1209,0.1222,0.0968,0.046,0.0568,0.0581,0.1277,0.1062,0.125,0.0886,0.1089,0.1319,0.1226,0.0968,0.1327,0.1622,0.125,0.0517,0.1529,0.1667,0.1711,0.1061,0.1154,0.1194,0.0941,0.0615,0.1494,0.0694,0.0,0.1364,0.0649,0.0185,0.1504,0.1724,0.129,0.1304,0.0317,0.1702,0.117,0.1645,0.1392,0.1261,0.1176,0.0339,0.117,0.0769,0.1679,0.0988,0.087,0.0164,0.0694,0.0678,0.0274,0.1081,0.0484,0.1633,0.121,0.1,0.0154,0.1282,0.1045,0.1271,0.134,0.0143,0.0377,0.0617,0.0875,0.0667,0.1111,0.0556,0.1226,0.0366,0.1429,0.1045,0.0476,0.0323,0.0854,0.0633,0.1316,0.141,0.1127,0.0167,0.0526,0.0625,0.0678,0.0667,0.0727,0.1075,0.1357,0.1091,0.1754,0.0,0.1011,0.0513,0.0548,0.1014,0.1094,0.0714,0.0678
